Name,Insulin index
Brie,7
Cheese,45
Cottagecheese,40
Cream cheese,18
Milk,34
Chocolate milk,46
Egg,23
Butter,2
Powdered milk,75-95
Soft serve,89
Ice creamsandwich,N/A
American cheese,42
Yogurt,46
Vinegar,N/A
Baby food,N/A
Cooking oil,3
Sunflower oil,N/A
Chicken meat,23
Barbecuechicken,23
Lentil soup,N/A
Broth,N/A
Chicken soup,N/A
Fish soup,N/A
Fish sauce,N/A
Tomat o soup,N/A
Bolognasausage,N/A
Hot dog,16
Porridge,40
Oatmeal,40
Cereal,25
Apple,59
Dried fruit,N/A
Avocado,6
Banana,81
Dates,64
Common fig,N/A
Grape,82
Mango,112
Melon,127
Orange,60
Orange juice,55
Mandarin orange,60
Papaya,129
Peach,39
Pear,45
Persimmon,47
Raisin,42
Watermelon,84
Clementine,N/A
Pork,19
Pork chop,19
Meat,19
Ham,19
Navy bean,120
Broccoli,29
Carrot,42
Cassava,N/A
Cauliflower,48
Maize,53
Pea,37
Potato,121
Gratin,N/A
Pumpkin,77
Spinach,N/A
Sweet potato,96
Taro,73
Yam,64
Mexican tea,N/A
Walnut,7
Beeftenderloin,51
Flank steak,51
Beer,20
White wine,3
Tea,N/A
Coca-Cola,60
Distilledbeverage,1
Cod,59
Haddock,59
Halibut,59
Alaskapollock,59
Swordfish,59
Tuna,22
Bass,59
Baked beans,88
Kidney bean,69
Bean,34
Chickpea,N/A
Lentil,58
Cellophane noodles,38
Peanut,20
Soy milk,10
Hummus,52
Peanut butter,15
Tofu,21
Lamb andmutton,21
Biscuit,48
Bread,100
White Bread,100
Chocolate cake,82
Gingerbread,73
Pound cake,N/A
Chocolate brownie,60
Butter cookie,N/A
Saltine cracker,87
Cracker,87
Croissant,79
French toast,79
Muffin,69
Pancake,58
Sweet roll,42
Baker's yeast,N/A
Chocolate chip cookie,92
Apple pie,47
Pretzel,102
Whitechocolate,63
Ice cream,89
Sherbet,89
Jelly bean,160
Candy bar,37
Cocoa bean,N/A
Custard,57
Pudding,80
Rice pudding,62
Chocolate ice cream,71
MARS,122
Honey,62
Fruitpreserves,85
Molasses,N/A
Brown sugar,83
Corn syrup,N/A
Snickers,37
Potato chip,61
Chocolate,34
Sugarsubstitute,35
Barley,46
Cornmeal,N/A
Couscous,84
Millet,104
Bran,51
Brown rice,62
Oat,75
Rice,79
Rye,N/A
Tagliatelle,42
Pasta,40
Noodle,22
Spaghetti,46
Semolina,N/A
Taco,24
Coleslaw,20
French fries,74
Mashedpotato,118
Pizza,64
Chickenfingers,41
Lasagne,34
Fettuccine,N/A
Penne,N/A
Rib eye steak,51
Steak,51
Beefsteak,51
Beef,51
Tortilla,36
Rose hip,N/A
Juice,55
Vermicelli,N/A
Tomat o sauce,41
Vegetable oil,3
