年龄(岁)/生理状况,男性 PAL,,,,,,女性 PAL,,,,,
,轻(I),,中 (II),,重 (III),,轻(I),,中(II),,重 (III),
,MJ/d,Kcal/d,MJ/d,kcal/d,MJ/d,kcal/d,MJ/d,kcal/d,MJ/d,kcal/d,MJ/d,kcal/d
0~,—,—,0.38ᵃ,90ᵇ,—,—,—,—,0.38ª,90ᵇ,—,—
0.5~,—,—,0.33ª,80ᵇ,—,—,—,—,0.33ª,80ᵇ,—,—
1~,—,—,3.77,900,—,—,—,—,3.35,800,—,—
2~,—,—,4.6,1100,—,—,—,—,4.18,1000,—,—
3~,—,—,5.23,1250,—,—,—,—,5.02,1200,—,—
4~,—,—,5.44,1300,—,—,—,—,5.23,1250,—,—
5~,—,—,5.86,1400,—,—,—,—,5.44,1300,—,—
6~,5.86,1400,6.69,1600,7.53,1800,5.23,1250,6.07,1450,6.9,1650
7~,6.28,1500,7.11,1700,7.95,1900,5.65,1350,6.49,1550,7.32,1750
8~,6.9,1650,7.74,1850,8.79,2100,6.07,1450,7.11,1700,7.95,1900
9~,7.32,1750,8.37,2000,9.41,2250,6.49,1550,7.53,1800,8.37,2000
10~,7.53,1800,8.58,2050,9.62,2300,6.9,1650,7.95,1900,9,2150
11~,8.58,2050,9.83,2350,10.88,2600,7.53,1800,8.58,2050,9.62,2300
14~,10.46,2500,11.92,2850,13.39,3200,8.37,2000,9.62,2300,10.67,2550
18~,9.41,2250,10.88,2600,12.55,3000,7.53,1800,8.79,2100,10.04,2400
50~,8.79,2100,10.25,2450,11.72,2800,7.32,1750,8.58,2050,9.83,2350
65~,8.58,2050,9.83,2350,—,—,7.11,1700,8.16,1950,—,—
80~,7.95,1900,9.2,2200,—,—,6.28,1500,7.32,1750,—,—
孕妇(1~12周),—,—,—,—,—,—,7.53,1800,8.79,2100,10.04,2400
孕妇(13~27周),—,—,—,—,—,—,8.79,2100,10.04,2400,11.29,2700
孕妇(≥28周),—,—,—,—,—,—,9.41,2250,10.67,2550,11.92,2850
乳母,—,—,—,—,—,—,9.62,2300,10.88,2600,12.13,2900
